date,time,temp ,spcond (ms/cm),ph,Ox,do_persent,turbidity ,chlorophyll ,phycocyanin ,sysbattery
5/11/2017,16:30:00,14.86,0.82,7.06,8.23,81.57,1.84,1.13,0.31,12.69
5/11/2017,16:45:00,14.89,0.82,7.06,8.23,81.66,1.81,1.12,0.29,12.56
5/11/2017,17:00:00,14.89,0.82,7.08,8.26,81.94,1.84,1.28,0.3,12.33
5/11/2017,17:15:00,14.79,0.82,7.1,8.23,81.39,1.93,1.22,0.31,12.27
5/11/2017,17:30:00,14.86,0.82,7.11,8.28,82.08,1.77,1.14,0.32,12.19
5/11/2017,17:45:00,14.72,0.82,7.06,8.25,81.55,1.89,1.37,0.31,12.11
5/11/2017,18:00:00,14.67,0.82,7.06,8.24,81.38,2.0,1.26,0.29,12.17
5/11/2017,18:15:00,14.66,0.82,7.08,8.24,81.3,1.92,1.36,0.32,12.16
5/11/2017,18:30:00,14.58,0.82,7.07,8.23,81.04,1.9,1.94,0.29,12.15
5/11/2017,18:45:00,14.53,0.82,7.06,8.17,80.39,1.88,1.25,0.32,12.21
5/11/2017,19:00:00,14.52,0.82,7.08,8.14,80.1,1.96,1.36,0.33,12.13
5/11/2017,19:15:00,14.48,0.82,7.06,8.14,80.0,1.89,1.14,0.3,12.14
5/11/2017,19:30:00,14.44,0.82,7.07,8.12,79.75,1.89,1.15,0.29,12.11
5/11/2017,19:45:00,14.4,0.82,7.06,8.11,79.55,1.94,1.13,0.28,12.11
5/11/2017,20:00:00,14.38,0.83,7.06,8.11,79.56,1.86,1.25,0.29,12.11
5/11/2017,20:15:00,14.35,0.82,7.08,8.05,78.89,1.97,1.26,0.31,12.1
5/11/2017,20:30:00,14.32,0.82,7.09,8.0,78.4,1.86,1.19,0.31,12.13
5/11/2017,20:45:00,14.28,0.83,7.08,8.03,78.63,1.9,1.2,0.32,12.09
5/11/2017,21:00:00,14.27,0.83,7.09,8.03,78.6,1.96,1.24,0.3,12.18
5/11/2017,21:15:00,14.27,0.83,7.08,8.0,78.27,2.1,1.06,0.3,12.15
5/11/2017,21:30:00,14.26,0.83,7.08,8.01,78.36,1.97,1.15,0.27,12.05
5/11/2017,21:45:00,14.28,0.83,7.08,8.03,78.61,1.97,1.11,0.28,12.15
5/11/2017,22:00:00,14.26,0.83,7.08,8.03,78.52,1.96,1.12,0.3,12.11
5/11/2017,22:15:00,14.24,0.83,7.08,8.03,78.57,1.9,1.12,0.27,12.03
5/11/2017,22:30:00,14.22,0.83,7.08,8.05,78.64,1.89,1.12,0.3,12.1
5/11/2017,22:45:00,14.22,0.83,7.08,8.04,78.58,2.1,1.54,0.31,12.11
5/11/2017,23:00:00,14.2,0.83,7.08,8.04,78.57,1.95,1.24,0.3,12.07
5/11/2017,23:15:00,14.23,0.84,7.09,8.04,78.56,2.07,1.09,0.33,12.09
5/11/2017,23:30:00,14.19,0.83,7.08,8.03,78.45,2.04,1.21,0.3,12.08
5/11/2017,23:45:00,14.23,0.84,7.08,8.03,78.5,2.0,0.97,0.29,12.15
5/12/2017,0:00:00,14.21,0.84,7.09,8.03,78.5,1.92,1.14,0.32,12.16
5/12/2017,0:15:00,14.25,0.83,7.08,8.01,78.32,2.05,1.15,0.28,12.11
5/12/2017,0:30:00,14.24,0.83,7.08,8.0,78.21,1.93,1.12,0.3,12.11
